title,channel,timestamp,date,hour,day_of_week,is_short,label,pred_class,brainrot_proba
Ab hoga 1000 crore ka business 😎😎 #shorts yrf spy universe,Sabir Dhanwala,2026-04-04 03:41:10.953000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.839169721447377
🗣️ When Parents Watch Our Children❤️‍🩹🫂 #family #statusvideo #reality #faimlylovestory #love #viral,Blood Village,2026-04-04 03:40:09.076000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7634921581012284
EP8: Rise Of India’s defence self reliance #shorts #defence #airforce,Satirical Citizen,2026-04-04 03:39:53.692000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.8398798930622963
Deliveries in 2026 | Yash Lalwani #shorts #delivery #onlineshopping,Yash Lalwani,2026-04-04 03:38:54.586000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.8937409823359246
Par Time To Dono Ke Paas Nahi Hain 😭🙏 #shorts #funnyvideos #funny #memes #comedy #funnymemes #meme,Zehan Arsh,2026-04-04 03:38:52.714000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.8687132254067135
I tried this FUN Website 🤨,Pinyo,2026-04-04 03:38:45.647000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6489153810031498
99% people will fail the IQ test,Nazmul Lifestyle Uncut,2026-04-04 03:38:44.567000+00:00,2026-04-04,3,Saturday,0,healthy,healthy,0.2769051213554132
Germany Back For Round 3 After 80 Years 😂 #historymemes #history #humour,Roe Jogan's History,2026-04-04 03:38:33.882000+00:00,2026-04-04,3,Saturday,0,brainrot,healthy,0.1515980993123024
#onepiece #anime #trafalgarlaw,HG Sama,2026-04-04 03:36:51.871000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7455581043631417
Aaj maut aayi hai #comedy #comedy #viral #funny #sketchcomedychannel #trending,Dhananjay Sharma,2026-04-04 03:35:19.267000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8352706742580367
Nitin Gadkari - and why government introduced ethanol? Let’s explore hidden facts.,Tanmayorates,2026-04-04 03:34:30.478000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7350604146977224
Relatable ✅😂foreign vs India | #relatable #beta #papa #foreign,Utsav Vishwakarma,2026-04-04 03:34:09.175000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7411225281208842
The Moment Sabo Ate Ace’s Devil Fruit 🤯🥶 #onepiece #luffy #sabo #ace #shorts #amv,Zenkai_X,2026-04-04 03:33:53.671000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9483690766094964
"Surviving in Africa with just ₹1,50,000😮🫣",Cassius Clyde Pereira,2026-04-04 03:31:59.340000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5929601336627354
How Ajit Doval turned a militant pro India ? #shorts #ajitdoval,Satirical Citizen,2026-04-04 03:30:38.482000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.8657061890964822
Govinda Did It First 😎 Before Dhurandhar 🔥#dhurandhar #dhurandhar2 #govinda #ranvirsingh,Anil Dabhi,2026-04-04 03:29:38.445000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7557401944299903
my friend destroyed my base so I took revenge #minecraft #usa,FloTech,2026-04-04 03:29:15.090000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7035385093000434
Always respect the work that pays the bills #motivationalvideo #storytelling #relatable #bestquotes,Ayush Jilewa,2026-04-04 03:28:54.589000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8223045631857426
samosa shop college gym manage struggle boy in jamshedpur #motivation #naturalbodybilding #gym,Jeet Inwrk,2026-04-04 03:28:30.083000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5465729690837411
Why zoro never be allowed to navigate the straw hats ship,AMVEXIA,2026-04-04 03:28:16.278000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5693671295689595
Only Indian Weddings can go from Cute to Crazy like this😅 #shorts  #indianwedding  #viralshorts,Sanket Kanchan,2026-04-04 03:27:16.446000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9017897406314803
DIY Emergency Key,ShopSpider,2026-04-04 03:26:44.259000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7219995832677814
WhiteBeard Vs Kaido Bounty Comparison | #shorts #trending #viral #anime #onepiece #luffy #nami  #fyp,JOYBOY 69,2026-04-04 03:26:41.454000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9446915609282776
#rollingmill,Quadvis,2026-04-04 03:25:56.686000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5665256703582612
Japanese art in my style✨ #trinketdish #pottery #artandcraft #concreteart #ceramic #japan #artfails,Colourslia | Clay & Concrete Artist ౨ৎ,2026-04-04 03:25:36.879000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5276836775367095
who was the murderer ? 😲,Facto Sor,2026-04-04 03:25:35.244000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8151422078472228
#original,MaceKingMC,2026-04-04 03:25:31.514000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7018751416379465
That day I didn’t lack money I lacked understanding.#motivationalvideo #bestquotes #motherlove #yt,Ayush Jilewa,2026-04-04 03:25:06.136000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6547411753148321
The Most Unhinged Joke in Transformers 🏗️,Filmy Sloth,2026-04-04 03:25:01.919000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7198339937594835
Paneer Thecha or Smoky Paneer or Masala Paneer #shorts,cookininshort,2026-04-04 03:24:15.456000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9000038751161658
Luffy becomes a Yonko 🔥 | ONE PIECE #onepiece #anime,noobie senpai,2026-04-04 03:24:03.344000+00:00,2026-04-04,3,Saturday,0,healthy,healthy,0.14402270554164415
The Dark Secret of the God’s Knights #willoflegends #onepiece #anime #onepieceedit,Will of Legends,2026-04-04 03:23:12.702000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6744719092490586
#dub,Voidlay,2026-04-04 03:22:58.052000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8251126609516136
Why Keralites Migrate For Jobs ? #shorts #kerala #gulf,Satirical Citizen,2026-04-04 03:21:29.014000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.8514765579777142
Moment when Luffy ate the Gum Gum devil fruit | One Piece #luffy #monkeydluffy #anime #edit,mangekyo_soul,2026-04-04 03:21:08.733000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.77591978219534
Crocs + Luxury ⚜️,Keegan Evans Photo,2026-04-04 03:20:20.093000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7033554270565585
"""To Protect her from Elon Musk"" Mother k¡||s 14 yo daughter! 😰 #shorts",Neon Man Shorts,2026-04-04 03:19:43.196000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.896556150821221
Luffy Flag Painting ❤️ #onepiece #luffy #genz #art #nepal,Sanim KC Art,2026-04-04 03:19:18.437000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8794743582139926
They saw nothing God saw everything.#motivationalvideo #storytelling #relatable #bestquotes #shorts,Ayush Jilewa,2026-04-04 03:18:56.579000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9138316030952877
#funnyexpression,Subbu filmy,2026-04-04 03:18:44.561000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7309776105735057
Robin actually liked Brook's joke for once,Piece Sign,2026-04-04 03:17:41.935000+00:00,2026-04-04,3,Saturday,0,brainrot,healthy,0.4712705694251979
Taking vintage photos in the future 📸,Mini Snap,2026-04-04 03:17:23.959000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6342191584753744
How the Tang Dynasty Built Underground Mausoleums #tomb #architecture  #3danimation #ancienthistory,Ancient Life Reloaded,2026-04-04 03:17:17.806000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6824677023260155
Spider-Man 2 Scene|Miles Morales does not old back 🔥💀,PS5 Clips,2026-04-04 03:17:00.335000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6545678277442423
"Christopher Nolan often puts IMAX cameras in high-risk, practical situations.",Aarush Prashanth,2026-04-04 03:16:47.329000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.561342224851901
XL Animals Look COMPLETELY Different Up Close! 🐴🦢🐧#animals #funny #science #shortfeed #cute,Purrfectly,2026-04-04 03:16:10.856000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.74011204409258
Nobody Saw This Coming From a Strongman 😳💪,Blitzo,2026-04-04 03:15:57.679000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.66422969413742
Blue & white ravioli #pasta #ravioli,Chef Italiano,2026-04-04 03:15:29.870000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8058647056695954
Luffy is dumber than a Bird 😂 | ONE PIECE,noobie senpai,2026-04-04 03:14:30.532000+00:00,2026-04-04,3,Saturday,0,healthy,healthy,0.076241795702902
[ TREASURE BOX 😂 ],ANIME CT,2026-04-04 03:14:10.007000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7887970987216708
"One day you’ll realize,today was the dream #motivationalvideo #storytelling #relatable #bestqoutes",Ayush Jilewa,2026-04-04 03:13:43.352000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7627726851101542
Artist Slams IPL's Bad Management! 😡 Rappe Reble #shorts,Neon Man Shorts,2026-04-04 03:13:02.579000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9592158695850521
Long sweep! #singleactionshootingsociety #speedshooting #fyp,Jace the Ace Outdoors,2026-04-04 03:12:36.893000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6382813911874876
The First Death of the Final War #willoflegends #onepiece #anime #onepieceedit,Will of Legends,2026-04-04 03:12:34.959000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7425915076660394
#aesthetic,SHORT VIDEO.00,2026-04-04 03:12:06.020000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7100288672997367
use code MIRELLA10 for 60% off 💌 get yours on pixoryofficial.com #photobook,Pixory 🤍 Travel Photobooks,2026-04-04 03:11:55.901000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5033300458032068
Paisa hi paisa hogaaaaa😍💰🤑 #fitness #health,Arjun Pandey,2026-04-04 03:10:08.682000+00:00,2026-04-04,3,Saturday,0,healthy,healthy,0.09196143053715129
AURA OF THIS FAMILY 💀🔥 || #upscmotivation #upsc #viral #shorts #studyiq,UPSC Soch,2026-04-04 03:10:03.898000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9153713596480884
Imu destroyed an entire Island,Piece Saga,2026-04-04 03:09:06.350000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5725624197742986
When You Use 1000% Of Your Brain - UNREAL Genius Marketing Technique  By Surreal #shorts,FactTechz,2026-04-04 03:08:11.508000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.7389419977058005
#dub,Facto Pila One,2026-04-04 03:08:08.467000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8391976098696652
Koi Nana ko rok lo 😭☝️🥀 #funny #dankmemes #comedy #darkhumor #shorts #trending,Vyom,2026-04-04 03:08:01.793000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9391347543915283
Who Controls India's Nuclear Button? (3D) by Professor Of How,Professor Of How,2026-04-04 03:06:27.651000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6033821175862193
Did Peter Really Save Norman… or Send Him to Die Again? | Spider-Man No Way Home Truth#shorts,Dadubhaikefact,2026-04-04 03:05:59.160000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.5655854905933545
CRAZY Smothered Mate in the END 😈🤯,WojakChess,2026-04-04 03:05:53.859000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7426920665422893
Police fooled by magician 🚨👀,Zach King,2026-04-04 03:05:30.472000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5979141353052846
ZORO CUTS A CLIFF WITH ENMA #onepiece #zoro #enma #anime #shorts #luffy #wano #sanji #kaido #yonko,AnimeSenpaiHub,2026-04-04 03:05:03.725000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9368949021471072
Zoro vs Law Bounty Comparison in One Piece #onepiece #onepieceedits #edits,Luffy Bounty,2026-04-04 03:03:37.631000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.661924281380314
My parents take everything too far 😔🥀 #golf #parents #funny,Golf Daddy,2026-04-04 03:02:52.651000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7881856766833145
Look alike cam #lookalike,FBmvlookalikecam,2026-04-04 03:02:05.261000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7436945067427344
Sanji Goes Toe to Toe with the Elders | ONE PIECE,Crunchyroll,2026-04-04 03:00:19.908000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6335596013273841
Tharla Tar mag new promo ❤️🥹#tharlatarmag #trending #starpravah #sayaliarjun,sayali_arjun_fanpage,2026-04-04 02:59:32.066000+00:00,2026-04-04,2,Saturday,0,brainrot,brainrot,0.8455430413406205
सायली वाजवणार प्रियाचे तीन तेरा…| Tharla Tar Mag,Star Pravah,2026-04-04 02:58:59.862000+00:00,2026-04-04,2,Saturday,0,brainrot,brainrot,0.6905805541087553
Warden. What Would You Do?,Dream,2026-04-04 02:58:00.665000+00:00,2026-04-04,2,Saturday,0,brainrot,brainrot,0.7408011893570755
How To Carve An Apple Swan 😮,Zack D. Films,2026-04-04 02:56:06.283000+00:00,2026-04-04,2,Saturday,0,healthy,healthy,0.09066346936483359
"Luffy's ""just an appetizer""! 😂 | ONE PIECE",noobie senpai,2026-04-04 02:54:42.871000+00:00,2026-04-04,2,Saturday,0,healthy,healthy,0.059787419409290304
He Was Waching The Whole Time 🫨,zsy,2026-04-04 02:53:51.377000+00:00,2026-04-04,2,Saturday,0,brainrot,brainrot,0.7293968378824575
Massive Minecraft Kingdom Part 1. #minecraft #fyp #movie #foryou #edit,DrevionMc,2026-04-04 02:53:29.785000+00:00,2026-04-04,2,Saturday,0,brainrot,brainrot,0.888373902657609
The US Anthem has an Indian connection! ​#IndianHistory #TipuSultan #History #usa🇺🇸 #Britain,Nihal Parashar,2026-04-04 02:51:37.145000+00:00,2026-04-04,2,Saturday,0,healthy,healthy,0.260428705859164
She Said It As a Joke… Or Did She? | Dhurandhar The Revenge Now Screening at PVR INOX,PVR,2026-04-04 02:51:29.905000+00:00,2026-04-04,2,Saturday,0,healthy,healthy,0.2988850268648545
Nibba Nibbi #tvf #reporting #drama,TVF Diaries,2026-04-04 02:49:59.031000+00:00,2026-04-04,2,Saturday,0,brainrot,brainrot,0.7635709013227413
"Doflamingo was evil, but a great leader",Piece Sign,2026-04-04 02:48:30.410000+00:00,2026-04-04,2,Saturday,0,brainrot,brainrot,0.7166879560121959
@Geometry_Of_Pool 🇪🇪 VS @VenomTrickshotsOfficial 🇫🇷🎱❌✅!!,Venom Trickshots,2026-04-03 19:03:09.145000+00:00,2026-04-03,19,Friday,0,brainrot,brainrot,0.6230700478622843
I became a Tender coconut wala!!😮😮,Cassius Clyde Pereira,2026-04-03 19:02:33.778000+00:00,2026-04-03,19,Friday,0,brainrot,brainrot,0.6891661971535756
Minecraft Realistic Armour Physics Simulations,Windie 3D,2026-04-03 19:02:29.998000+00:00,2026-04-03,19,Friday,0,healthy,healthy,0.2649035032565511
Aditya Hrudaya Stotram - chanted by Lord Rama in Srimad Valmiki Ramayana,Braja Beats,2026-04-03 18:49:20.018000+00:00,2026-04-03,18,Friday,0,brainrot,brainrot,0.6788180394139399
Why is everyone asking about this Castle? #shorts,JahidTheCrafter 🛠️,2026-04-03 18:49:10.936000+00:00,2026-04-03,18,Friday,1,brainrot,brainrot,0.897669103943766
Apple Worm Game #brainpuzzle #gameplay #shorts #shortvideo #mindblown #appleworm  #npg #npgaming,NaughtyProGamer,2026-04-03 18:48:13.124000+00:00,2026-04-03,18,Friday,1,brainrot,brainrot,0.9352856865497409
Live Quiz Challenges 🔴 Math Quiz Live | #mathquiz #mathchallenge #live,Ami Somnath,2026-04-03 18:47:54.496000+00:00,2026-04-03,18,Friday,0,brainrot,healthy,0.43012105736476286
Geometry Dash Math vs Hard Wave! 😱,ItzBran,2026-04-03 18:46:45.089000+00:00,2026-04-03,18,Friday,0,healthy,healthy,0.1804436000316188
Welspun just dropped a masterclass in advertising by leaning into pop-culture nostalgia.,Marketing Moves,2026-04-03 18:46:20.807000+00:00,2026-04-03,18,Friday,0,brainrot,brainrot,0.5814485871274897
#nobatidao,Bouncing Turtle,2026-04-03 18:46:15.569000+00:00,2026-04-03,18,Friday,0,brainrot,brainrot,0.7568348492958654
Jethalal Aur Daya ke bade Ghotale 😱| TMKOC Jethalal Mistake Reveal | TMKOC #shorts,Different Fact,2026-04-03 18:46:06.267000+00:00,2026-04-03,18,Friday,1,brainrot,brainrot,0.8403933192060139
Which Minecraft Mob Can Survive Laser Gap? 🤯#batidao,I AM PANDA,2026-04-03 18:46:00.124000+00:00,2026-04-03,18,Friday,0,brainrot,brainrot,0.8407884970199944
This AI Counts 1000 Potatoes a Minute! 🤯🥔🤖#shorts #shortfeed,Future_Tech,2026-04-03 18:45:54.394000+00:00,2026-04-03,18,Friday,1,brainrot,brainrot,0.764574848358945
World's Biggest 11000 Kg Mahaprasad Making😍 #viral  #mahaprasad #shortvideo #explore #yotubeshorts,Minal Naukariya,2026-04-03 18:45:07.836000+00:00,2026-04-03,18,Friday,1,brainrot,brainrot,0.9068694653959102
TRAP at Different Times (World's Smallest Violin) #minecraft #shorts,MaceKingMC,2026-04-03 18:44:19.978000+00:00,2026-04-03,18,Friday,1,brainrot,brainrot,0.8919727325032957
If you know mahabharat then answer this✨#krishna #questions #mahabharat,ETFツPIRATE,2026-04-03 18:44:12.769000+00:00,2026-04-03,18,Friday,0,brainrot,brainrot,0.7160400413886222
Do you want one? #labrjewelry #menjewelry #bracelet #manbracelet #steelbracelet,LABR,2026-04-03 18:43:59.135000+00:00,2026-04-03,18,Friday,0,brainrot,brainrot,0.7025526923726887
